		[0]	dummy entry: 0 easily confused with undefined
different	j	[20]	不一樣的
dirty	j	[20]	髒的
easy	j	[20]	簡單的
favorite	j	[20]	最喜歡的
fine	j	[20]	很不錯的
fun	j	[20]	有趣的
great	j	[20]	很棒的
hard	j	[20]	困難的
hot	j	[20]	燙的
interesting	j	[20]	有趣的
new	j	[20]	新的
OK	j	[20]	好的
only	j	[20]	僅有的
other	drj	[20]	其他的
quiet	j	[20]	安靜的
ready	j	[20]	準備好的
right	j	[20]	對的
sorry	j	[20]	感到抱歉的
sure	j	[20]	確定的
wet	j	[20]	濕的
wonderful	j	[20]	很棒的
again	b	[21]	再一次
always	b	[21]	總是、永遠
away	b	[21]	離開
maybe	b	[21]	也許
never	b	[21]	不曾
no	b	[21]	不
not	b	[21]	不、沒有
OK	b	[21]	沒事
only	b	[21]	唯一地
really	b	[21]	真正地
so	b	[21]	所以
sometimes	b	[21]	有時候
still	b	[21]	仍然
sure	b	[21]	當然
then	b	[21]	然後、接著
together	b	[21]	一起
too	b	[21]	也；太…
usually	b	[21]	通常
very	b	[21]	非常
yes	b	[21]	是
birthday	n	[22]	生日
bottle	n	[22]	瓶子
box	n	[22]	箱子
can	n	[22]	罐子
cellphone	n	[22]	手機
dream	n	[22]	夢
e-mail	n	[22]	電子郵件
email	n	[22]	電子郵件
flower	n	[22]	花
fun	n	[22]	樂趣
gift	n	[22]	禮物
mail	n	[22]	信
party	n	[22]	派對
photo	n	[22]	照片
robot	n	[22]	機器人
sale	n	[22]	拍賣、特價
thing	n	[22]	東西
ticket	n	[22]	票
trash	n	[22]	垃圾
tree	n	[22]	樹
way	n	[22]	路、方向
word	n	[22]	字
brush	v	[23]	用刷子刷
call	v	[23]	打電話給…
close	v	[23]	關
come	v	[23]	來
cry	v	[23]	哭泣
do	v	[23]	做
enjoy	v	[23]	享受
fall	v	[23]	掉落
feel	v	[23]	感覺
find	v	[23]	找
get	v	[23]	得到
give	v	[23]	給
go	v	[23]	去、走
have	v	[23]	有
help	v	[23]	幫助
hit	v	[23]	打、碰撞
hope	v	[23]	希望
hurry	v	[23]	趕快、急忙
hurt	v	[23]	受傷
jump	v	[23]	跳
know	v	[23]	知道、認識
laugh	v	[23]	笑
let's	v	[23]	讓我們…
like	v	[23]	喜歡
look	v	[23]	看、看起來
love	v	[23]	(喜)愛
make	v	[23]	做、製造
meet	v	[23]	遇見、會面
miss	v	[23]	想念
need	v	[23]	需要
open	v	[23]	開
pick up	v	[23]	撿起、接(人、電話)
put	v	[23]	放
see	v	[23]	看見
show	v	[23]	給...看、展示
sit	v	[23]	坐下
sleep	v	[23]	睡覺
smell	v	[23]	聞起來
stand	v	[23]	站、站立
start	v	[23]	開始
stop	v	[23]	停下來
take	v	[23]	攜帶、拿取
tell	v	[23]	告訴
thank	v	[23]	感謝(某人)
touch	v	[23]	觸碰
try	v	[23]	嘗試
wait	v	[23]	等待
wake	v	[23]	醒來、喚醒
walk	v	[23]	走路
want	v	[23]	想要
watch	v	[23]	看
welcome	v	[23]	歡迎
worry	v	[23]	擔心
arm	n	[24]	手臂
back	n	[24]	背
ear	n	[24]	耳朵
eye	n	[24]	眼睛
face	n	[24]	臉
feet	n	[24]	腳（複數）
foot	n	[24]	腳
hair	n	[24]	頭髮
hand	n	[24]	手
head	n	[24]	頭
leg	n	[24]	腿
mouth	n	[24]	嘴巴
nose	n	[24]	鼻子
teeth	n	[24]	牙齒（複數）
tooth	n	[24]	牙齒
baby	n	[25]	嬰兒
boy	n	[25]	男孩
girl	n	[25]	女孩
kid	n	[25]	小孩
man	n	[25]	男人
men	n	[25]	男人（複數）
people	n	[25]	人（複數）
person	n	[25]	人
woman	n	[25]	女人
women	n	[25]	女人（複數）
angry	j	[26]	生氣的
bad	j	[26]	壞的
beautiful	j	[26]	美麗的
bored	j	[26]	覺得無聊的
boring	j	[26]	令人無聊的
busy	j	[26]	忙碌的
cute	j	[26]	可愛的
excited	j	[26]	覺得興奮的
exciting	j	[26]	令人興奮的
good	j	[26]	好的
happy	j	[26]	開心的
heavy	j	[26]	（人）重的
lazy	j	[26]	懶惰的
mad	j	[26]	生氣的
nice	j	[26]	宜人的
old	j	[26]	年齡；老的
pretty	j	[26]	漂亮的
sad	j	[26]	傷心的
short	j	[26]	矮的
smart	j	[26]	聰明的
tall	j	[26]	高的
thin	j	[26]	瘦的
young	j	[26]	年輕的
back	b	[27]	向後、回原處
bank	n	[27]	銀行
bookstore	n	[27]	書店
department store	n	[27]	百貨公司
fire station	n	[27]	消防站
here	b	[27]	這裡
hospital	n	[27]	醫院
Japan	n	[27]	日本
left	jb	[27]	左邊(的)
market	n	[27]	市場
movie theater	n	[27]	電影院
museum	n	[27]	博物館
office	n	[27]	辦公室
park	n	[27]	公園
police station	n	[27]	警察局
post office	n	[27]	郵局
restaurant	n	[27]	餐廳
restroom	n	[27]	洗手間、廁所
right	j	[27]	右邊
