invent	v	2
invitation	n	2
invite	v	1
iron	n	2
iron	v	2
is	v	1
island	n	1
it	r	1
item	n	1
its	d	1
itself	r	1
jacket	n	1
jam	v	2
jam	n	2
january	n	1
jazz	n	2
jealous	j	2
jeans	n	1
jeep	n	2
job	n	1
jog	v	1
join	v	1
joke	nv	1
journalist	n	2
joy	n	1
judge	n	2
judge	v	2
juice	n	1
july	n	1
jump	nv	1
june	n	1
junior high school	n	1
just	b	1
kangaroo	n	2
keep	v	1
ketchup	n	2
key	n	1
key	j	1
kick	nv	1
kid	n	1
kill	v	1
kilogram	n	1
kilometer	n	2
kind	j	1
kind	n	1
kindergarten	n	2
king	n	1
kingdom	n	2
kiss	nv	1
kitchen	n	1
kite	n	1
kitten	n	2
knee	n	1
knife	n	1
knock	v	1
know	v	1
knowledge	n	1
koala	n	2
lack	nv	2
lady	n	2
lake	n	1
lamb	n	2
lamp	n	1
land	n	1
land	v	1
language	n	1
lantern	n	2
large	j	1
last	v	1
last	jnr	1
late	bj	1
later	b	1
latest	j	2
latter	j	2
laugh	nv	1
law	n	2
lawyer	n	1
lay	v	2
lazy	j	1
lead	n	1
lead	nv	1
leader	n	1
leaf	n	2
learn	v	1
least	bjnr	1
leave	nv	1
left	bn	1
left	j	1
leg	n	1
lemon	n	1
lend	v	1
less	br	1
lesson	n	1
let	v	1
letter	n	1
lettuce	n	2
level	n	1
level	j	1
library	n	1
lick	nv	2
lid	n	2
lie	v	1
lie	nv	1
life	n	1
lift	v	2
lift	n	2
light	jnv	1
light	bj	1
lightning	n	2
like	p	1
like	v	1
likely	bj	2
limit	nv	2
line	nv	1
link	nv	2
lion	n	1
lip	n	1
liquid	jn	2
list	nv	1
listen	v	1
liter	n	2
little	bjr	1
live	j	1
live	v	1
living room	n	1
loaf	n	2
local	jn	2
lock	nv	2
locker	n	2
lonely	j	1
long	v	1
long	bj	1
look	nv	1
lose	v	1
loser	n	2
lot	n	1
loud	bj	1
love	nv	1
lovely	j	1
low	j	1
lucky	j	1
lunch	n	1
ma'am	n	2
machine	n	1
mad	j	1
magazine	n	2
magic	jn	1
magician	n	2
mail	nv	1
mail carrier	n	1
mailman	n	1
main	j	1
major	j	2
major	nv	2
make	v	1
male	jn	2
mall	n	2
man	n	1
manager	n	2
mango	n	2
manner	n	2
many	jr	1
map	n	1
march	nv	1
march	n	1
mark	v	1
mark	n	1
marker	n	1
market	nv	1
married	j	1
marry	v	2
marvelous	j	2
mask	n	1
mass	jn	2
master	v	2
master	n	2
mat	n	2
match	n	2
match	v	2
math	n	1
mathematics	n	1
matter	n	1
matter	v	1
maximum	bjn	2
may	x	1
may	n	1
maybe	b	1
me	r	1
meal	n	1
mean	j	1
mean	v	1
meaning	n	2
measure	n	2
measure	v	2
meat	n	1
mechanic	n	2
medicine	n	1
medium	j	1
medium	n	1
meet	v	1
meeting	n	1
member	n	1
memory	n	2
men's room	n	2
menu	n	1
message	n	2
metal	n	2
meter	v	2
meter	n	2
method	n	2
metro	n	1
microwave	nv	2
middle	jn	1
midnight	jn	2
might	n	1
might	x	1
mile	n	1
milk	n	1
million	jmnr	1
mind	n	1
mind	v	1
mine	n	1
minor	j	2
minor	n	2
minor	v	2
minus	cjnr	2
minute	j	1
minute	n	1
mirror	n	2
miss	v	1
miss	n	1
mistake	nv	1
mix	nv	2
model	nv	2
modern	j	1
mom	n	1
moment	n	1
mommy	n	1
monday	n	1
money	n	1
monkey	n	1
monster	n	2
month	n	1
moon	n	1
mop	nv	1
more	bjr	1
morning	n	1
mosquito	n	2
most	bjr	1
mother	n	1
mother	v	1
motion	n	2
motion	v	2
motorcycle	n	1
mountain	n	1
mouse	n	1
mouth	n	1
move	nv	1
movement	n	2
movie	n	1
mr.	n	1
mrs.	n	1
mrt	n	2
ms.	n	1
much	bjr	1
mud	n	1
museum	n	1
music	n	1
musician	n	2
must	x	1
my	d	1
myself	r	1
nail	nv	1
name	nv	1
napkin	n	2
narrow	jv	2
nation	n	2
national	j	1
natural	j	2
nature	n	1
naughty	j	2
near	bjpv	1
nearly	b	2
necessary	j	2
neck	n	1
necklace	n	2
need	nvx	1
needle	nv	2
negative	jn	2
neighbor	nv	1
neither	bcjr	2
nephew	n	2
nervous	j	2
nest	nv	2
net	j	2
net	nv	2
net	j	1
net	nv	1
never	b	1
new	j	1
news	n	1
newspaper	n	1
next	bj	1
nice	j	1
nice-looking	j	2
niece	n	2
night	n	1
nine	jmnr	1
nineteen	jmnr	1
ninety	jmnr	1
no	bjn	1
nobody	nr	1
nod	nv	2
noise	n	1
noisy	j	1
none	br	2
noodle	n	1
noon	n	1
nor	c	2
north	bjn	1
nose	n	1
not	b	1
note	nv	1
notebook	n	1
nothing	nr	1
notice	nv	1
novel	n	2
novel	j	2
november	n	1
now	bnr	1
number	nv	1
nurse	nv	1
nut	n	2
o'clock	b	1
obey	v	2
object	n	2
object	v	2
ocean	n	2
october	n	1
of	p	1
off	bjp	1
offer	nv	2
office	n	1
officer	n	1
often	b	1
oil	nv	1
ok	bjnv	1
old	j	1
omit	v	2
on	bp	1
once	bcr	1
one	jmnr	1
oneself	r	2
onion	n	2
only	bcj	1
open	jv	1
operation	n	2
opinion	n	2
or	c	1
orange	jn	1
order	n	1
order	v	1
ordinary	j	2
other	jr	1
our	d	1
ours	r	1
ourselves	r	1
out	bjp	1
outside	bjnp	1
oven	n	2
over	bjp	1
over-weight	j	2
overpass	n	2
overseas	bj	2
own	jr	1
own	v	1
owner	n	2
ox	n	2
p.m.	b	1
pack	nv	1
package	n	1
page	n	1
pain	n	2
painful	j	2
paint	nv	1
painter	n	2
pair	n	1
pajamas	n	2
pale	j	2
pan	n	2
panda	n	2
pants	n	1
papaya	n	1
paper	n	1
pardon	nv	2
parent	n	1
park	n	1
park	v	1
parking lot	n	2
parrot	n	2
part	v	1
part	n	1
partner	n	2
party	n	1
pass	nv	1
passenger	n	2
past	bjnp	1
paste	nv	1
path	n	2
patient	j	2
patient	n	2
pattern	n	2
pause	nv	2
pay	nv	1
pe	n	1
peace	n	2
peaceful	j	2
peach	n	1
pear	n	1
pen	n	1
pencil	n	1
people	n	1
pepper	n	2
perfect	v	2
perfect	j	2
perhaps	b	1
period	n	2
person	n	1
personal	j	2
pet	n	1
phone	nv	1
photo	n	1
physical education	n	1
physics	n	2
piano	n	1
pick	v	1
picnic	nv	1
picture	nv	1
pie	n	1
piece	n	1
pig	n	1
pigeon	n	2
pile	nv	2
pillow	n	2
pin	nv	1
pineapple	n	2
pink	jn	1
pipe	n	1
pizza	n	1
place	n	1
place	v	1
plain	n	2
plain	bj	2
plan	nv	1
plane	n	1
planet	n	1
plant	v	1
plant	n	1
plate	n	1
platform	n	2
play	v	1
play	n	1
player	n	1
playground	n	1
pleasant	j	2
