but	c	6	['但是', '', '']
butterfly	n	1	['蝴蝶', '', '']
buy	v	15	['買', '', '']
by	p	26	['在…旁邊', '', '']
bye	i	14	['再見', '', '']
cake	n	8	['蛋糕', '', '']
call	v	21	['打電話給…', '', '']
can	n	20	['罐子', '', '']
can	x	3	['可以', '', '']
candy	n	8	['糖果', '', '']
cap	n	4	['棒球帽', '', '']
car	n	33	['車子', '', '']
card	n	30	['卡片', '', '']
cat	n	1	['貓', '', '']
cellphone	n	20	['手機', '', '']
chair	n	13	['椅子', '', '']
chicken	n	1	['雞', '', '']
chicken	n	8	['雞肉', '', '']
chinese	n	28	['中文', '', '']
chocolate	n	8	['巧克力', '', '']
chopsticks	n	31	['筷子', '', '']
christmas	n	12	['聖誕節', '', '']
class	n	28	['課；班級', '', '']
classroom	n	28	['教室', '', '']
clean	j	13	['乾淨的', '', '']
clean	v	13	['清理', '', '']
climb	v	30	['爬、攀爬', '', '']
clock	n	32	['時鐘', '', '']
close	v	21	['關', '', '']
clothes	n	4	['衣服', '', '']
cloudy	j	34	['多雲的', '', '']
coat	n	4	['外套', '', '']
coffee	n	8	['咖啡', '', '']
coke	n	8	['可樂', '', '']
cola	n	8	['可樂', '', '']
cold	j	34	['寒冷的', '', '']
cold	n	11	['感冒', '', '']
color	n	5	['顏色', '', '']
come	v	21	['來', '', '']
computer	n	13	['電腦', '', '']
cook	n	8	['廚師', '', '']
cook	v	17	['做飯', '', '']
cookies	n	8	['餅乾', '', '']
cool	j	18	['清涼的', '', '']
cool	j	34	['涼爽的', '', '']
cousin	n	7	['堂兄弟姊妹', '', '']
cow	n	1	['乳牛', '', '']
cry	v	21	['哭泣', '', '']
cup	n	31	['杯子', '', '']
cute	j	24	['可愛的', '', '']
dad	n	7	['爸爸', '', '']
daddy	n	7	['爸爸', '', '']
dance	v	30	['跳舞', '', '']
daughter	n	7	['女兒', '', '']
day	n	32	['天', '', '']
december	n	32	['十二月', '', '']
department store	n	25	['百貨公司', '', '']
desk	n	13	['桌子', '', '']
different	j	18	['不一樣的', '', '']
dining room	n	13	['(家裡的)餐廳', '', '']
dinner	n	8	['晚餐', '', '']
dirty	j	18	['髒的', '', '']
dish	n	31	['碟子、盤子', '', '']
do	v	21	['做', '', '']
do	x	3	['助動詞', '', '']
doctor	n	17	['醫生', '', '']
dog	n	1	['狗', '', '']
doll	n	30	['玩偶', '', '']
dollar	n	15	['元', '', '']
door	n	13	['門', '', '']
dragon boat festival	n	12	['端午節', '', '']
draw	v	28	['畫、描畫', '', '']
dream	n	20	['夢', '', '']
dress	n	4	['洋裝', '', '']
drink	v	8	['喝', '', '']
drive	v	33	['開車', '', '']
driver	n	17	['司機、駕駛員', '', '']
drum	n	30	['鼓', '', '']
duck	n	1	['鴨子', '', '']
duck	n	8	['鴨肉', '', '']
dumpling	n	8	['水餃', '', '']
e-mail	n	20	['電子郵件', '', '']
ear	n	22	['耳朵', '', '']
early	bj	32	['早到(的)', '', '']
