字彙	詞類	中文	註解	級數	學術字彙	國中字彙	高中字彙
journalism	noun	新聞業、新聞工作		中高級			L5
journalist	noun	新聞記者		初級		800	L5
journey	noun/verb	旅行		中級			L3
joy	noun	歡樂		初級		1200	L1
joyful	adj.	令人愉快的		中級			L3
joyous	adj.	歡樂的、令人愉快的		中高級			L6
judge	noun	法官		初級		800	L2
judge	verb	判斷		初級		800	L2
judgment	noun	判斷、審判	= judgement	中級			L2
judicial	adj.	法庭的、審判的、司法的		中高級			L5
judiciary	noun	審判人員、司法系統		中高級
jug	noun	(有柄有嘴的)壺、罐		中高級			L5
juice	noun	果汁		初級		1200	L1
juicy	adj.	多汁的		中級			L3
July	noun	七月	= Jul.	初級		1200
jump	verb/noun	跳		初級		1200	L1
jumper	noun	跳躍者、跳躍動物；套頭衫		中高級
junction	noun	匯合、(公路或鐵路)交叉點		中高級			L6
June	noun	六月	= Jun.	初級		1200
jungle	noun	叢林		中級			L3
junior	adj./noun	較年輕的、資淺的、（四年制中學或大學）三年級的；後輩、資淺者、（四年制中學或大學的）三年級學生		中級		1200	L3
junior high school	noun	國中、國民中學		初級
junk	noun	廢舊物、垃圾		中級			L3
jury	noun	陪審團		中級			L5
just	adv.	只是、正好、剛才		初級		1200	L1
justice	noun	正義、司法		中級			L2
justification	noun	正當理由、辯護		中高級
justified	adj.	有正當理由的		中高級
justify	verb	證明是正當的、為…辯護		中高級	L3		L5
juvenile	noun/adj.	少年；少年的、未成熟的		中高級			L5
kangaroo	noun	袋鼠		初級		800	L3
Kaohsiung	noun	高雄		初級
keen	adj.	熱切的、熱心的		中級			L4
keep	verb	使…保持在某狀態、繼續、飼養		初級		1200	L1
keeper	noun	飼養者、看守人		中級			L2
kernel	noun	(堅果的)核、(主題的)中心		中高級
ketchup	noun	番茄醬	= catsup	初級		800	L2
kettle	noun	水壺		中級			L4
key	noun	鑰匙、關鍵		初級		1200	L1
key	adj.	重要的		初級		1200	L1
keyboard	noun	鍵盤		中級			L3
kick	verb/noun	踢		初級		1200	L1
kid	noun	小孩		初級		1200	L1
kidnap	verb	綁架		中級			L5
kidney	noun	腎		中級			L3
kill	verb	殺、使痛苦		初級		1200	L1
killer	noun	殺手、導致死亡的人(事物)		中高級
killing	noun/adj.	謀殺；致命的、使人精疲力盡的、滑稽的		中高級
kilogram	noun	公斤	= kg	初級		1200	L2
kilometer	noun	公里	= kilometre (British English)=km	初級		800	L3
kin	noun	(統稱)家屬、親戚		中高級			L6
kind	adj.	仁慈、親切的		初級		1200	L1
kind	noun	種類		初級		1200	L1
kindergarten	noun	幼稚園		初級		800	L3
kindle	verb	開始燃燒、激起(興趣、感情)		中高級			L6
kindly	adj./adv	親切的；親切地		中級
kindness	noun	親切、和藹		中級
king	noun	國王		初級		1200	L1
kingdom	noun	王國		初級		800	L3
kiss	verb/noun	親吻		初級		1200	L1
kit	noun	成套工具		中級			L3
kitchen	noun	廚房		初級		1200	L1
kite	noun	風箏		初級		1200	L1
kitten	noun	小貓	= kitty	初級		800
knee	noun	膝蓋		初級		1200	L1
kneel	verb	跪下		中級			L4
knife	noun	刀		初級		1200	L1
knight	noun	騎士		中級			L3
knit	verb/noun	縫紉；針織衫		中級			L3
knob	noun	球形把手、旋鈕		中級			L4
knock	verb	敲		初級		1200	L1
knot	noun/verb	繩結；打結		中級			L3
know	verb	知道		初級		1200	L1
know-how	noun	知識、實用技能、竅門		中高級
knowledge	noun	知識		初級		1200	L1
knowledgeable	adj.	博學的、有見識的		中級			L6
knuckle	noun/verb	指關節、(豬)蹄膀；用指關節敲打		中高級
koala	noun	無尾熊		初級		800	L3
Korea	noun	韓國		初級
Korean	adj./noun	韓國的；韓國人		初級
KTV	noun	卡拉OK店		初級
label	noun/verb	標籤；貼標籤於、歸為		中級	L4		L3
labor	noun/verb	勞動、勞工；努力做	= labour (British English)	中級	L1		L4
laboratory	noun	實驗室	= lab	中級			L4
lace	noun/verb	蕾絲；用帶繫		中級			L3
lack	noun/verb	欠缺		初級		800	L2
lad	noun	小伙子、少年		中高級			L6
ladder	noun	梯子、階梯		中級			L3
lady	noun	女士		初級		800	L2
ladybug	noun	瓢蟲	= ladybird (British English)	中級			L2
lag	verb/noun	掉隊、滯後、緩慢移動；（兩件事之間的）間隔，延遲		中級			L4
lake	noun	湖		初級		1200	L1
lamb	noun	小羊		初級		800	L2
lame	adj.	瘸的、站不住腳的、無說服力的		中高級
lament	noun/verb	輓歌；對…感到悲痛		中高級
lamp	noun	燈		初級		1200	L1
land	noun	土地		初級		1200	L1
land	verb	登陸		初級		1200	L1
landing	noun	樓梯平台、降落、著陸		中高級
landlady	noun	女房東、女地主		中級			L6
landlord	noun	房東、地主		中級			L5
landmark	noun	地標		中級			L4
landscape	noun/verb	風景；美化(環境)		中級			L4
landslide	noun	土石流		中級			L6
lane	noun	小路、巷弄		中級			L2
language	noun	語言		初級		1200	L1
lantern	noun	燈籠		初級		800	L2
Lantern Festival	noun	元宵節		初級
lap	noun	大腿、一圈(跑道)		中級			L2
large	adj.	大的		初級		1200	L1
largely	adv.	大部分、主要地		中級			L4
large-scale	adj.	大規模的、大範圍的		中高級
laser	noun	雷射		中級			L5
lash	noun/verb	睫毛、鞭打；鞭打、猛擊、怒斥		中高級			L6
last	verb	持續		中級		1200	L1
last 	adj./pron./noun	最後的、剛過的		初級		1200	L1
lasting	adj.	持久的		中高級
late	adj./adv.	遲的		初級		1200	L1
lately	adv.	最近		中級			L3
latent	adj.	潛在的、潛伏的		中高級
later	adv.	更晚的；較晚地、以後		初級		1200	L1
latest	adj.	最新的		初級		800	L2
latitude	noun	緯度		中級			L6
latter	adj.	後面的、後者的		中級		800	L2
laugh	verb/noun	笑		初級		1200	L1
laughter	noun	笑、笑聲		中級			L3
launch	verb/noun	發動、發行、發射、下水		中級			L4
laundry	noun	洗衣店、洗好或待洗的衣物		中級			L3
lava	noun	(火山噴出的)熔岩、岩漿		中高級
lavatory	noun	盥洗室、廁所	= toilet	中級
lavish	adj./verb	奢華的、豪華的；為…提供大量的（金錢）		中高級			L6
law	noun	法律		初級		800	L2
lawful	adj.	合法的、法定的		中級			L4
lawmaker	noun	立法者		中高級			L5
lawn	noun	草坪		中級			L3
lawsuit	noun	訴訟、起訴		中高級			L5
lawyer	noun	律師		初級		1200	L1
lay	verb	放置		初級		800	L2
layer	noun	層		中級	L3		L5
layman	noun	門外漢		中高級			L6
layout	noun	佈局、佈置、安排		中高級			L6
lazy	adj.	懶惰的		初級		1200	L1
LCD	noun	液晶顯示器	= liquid crystal display	中高級
lead	noun	鉛		中級		1200	L1
lead 	verb/noun	領導；領先		初級		1200	L1
leader	noun	領導者		初級		1200	L1
leadership	noun	領導(能力)		初級			L2
lead-in	noun	(主題、故事的)介紹、開場白		中高級
leading	adj.	最重要的、領先的		中級
leaf	noun	葉子		初級		800	L2
leaflet	noun	傳單		中級
league	noun	聯盟、社團		中級			L5
leak	verb/noun	滲漏、走漏；漏洞		中級			L3
lean	verb	傾斜、倚靠		中級			L4
lean	adj.	瘦(肉)的		中級			L4
leap	verb/noun	跳躍、巨變、激增		中級			L3
learn	verb	學習		初級		1200	L1
learned	adj.	有學問的		中級			L4
learner	noun	學習者		中級
learning	noun	學識、學習		中級			L3
lease	noun/verb	租約；租借、出租		中高級			L6
least	adv./adj./pron./noun	最少、最小		初級		1200	L1
leather	noun	皮革		中級			L3
leave	verb/noun	離開；假期		初級		1200	L1
lecture	noun/verb	講課；演講		中級	L6		L4
lecturer	noun	演講者、講師		中級			L4
lee	noun/adj.	背風處、避風處		中高級
left	noun/adv.	左邊、左側；向左		初級		1200	L1
left	adj.	左邊的、左側的、剩下的		初級		1200	L1
left-hand	adj.	左手的、左邊的		初級
left-wing	adj./noun	左翼、左派		中高級
leg	noun	腿		初級		1200	L1
legacy	noun	遺產、遺贈物		中高級			L5
legal	adj.	合法的		初級	L1		L2
legend	noun	傳奇、傳奇人物		中級			L4
legendary	adj.	傳奇的		中級			L5
legislation	noun	法規、法律		中高級			L5
legislative	adj.	立法的、制定法律的		中高級			L5
legislator	noun	立法者、立法委員		中高級			L6
legislature	noun	立法機關		中高級
legitimate	adj.	正當合理的；合法的		中高級			L5
leisure	noun	閒暇、休閒		中級			L3
leisurely	adj./adv.	悠閒從容的/地		中級			L4
lemon	noun	檸檬		初級		1200	L1
lemonade	noun	檸檬水		中級			L3
lend	verb	把…借給		初級		1200	L2
length	noun	長度		初級			L2
lengthen	verb	加長		中級			L4
lengthy	adj.	長時間的、過長的		中高級			L6
lens	noun	鏡片		中級		800	L2
leopard	noun	豹		中級			L3
lesbian	adj./noun	女同性戀者的；女同性戀		中高級			L6
less	adv./pron.	較少(地)		初級		1200	L1
lessen	verb	使降低、使減少		中高級			L6
lesser	adj.	較小的、次要的		中高級
lesson	noun	課程		初級		1200	L1
lest	conj.	免得、以免		中高級			L5
let	verb	讓		初級		1200	L1
lethal	adj.	致命的、具殺傷力的		中高級			L6
letter	noun	信		初級		1200	L1
lettuce	noun	萵苣		初級		800	L3
level	noun	水準		初級		1200	L1
level	adj.	水平的		初級		1200	L1
lever	noun/verb	控制桿；（用槓桿）撬動		中高級
levy	noun/verb	稅款；徵稅		中高級	L10
liability	noun	（法律上對某事物的）責任		中高級			L5
liable	adj.	可能（做某事）；負有償付責任		中高級			L6
liar	noun	撒謊者		中級			L4
libel	noun/verb	（文字）誹謗		中高級
liberal	adj./noun	開明的、自由的；自由主義者		中級	L5		L2
liberalize	verb	使自由化、放寬對…的限制		中高級
liberate	verb	解放		中級			L6
liberation	noun	解放		中高級			L6
liberty	noun	自由		中級			L3
librarian	noun	圖書館員		中級			L4
library	noun	圖書館		初級		1200	L1
license	verb/noun	發許可證；執照	= licence (British English)	中級			L4
lick	verb/noun	舔		初級		800	L3
lid	noun	蓋子；眼瞼		初級		800	L2
lie 	verb	躺下、橫臥、擺放		初級		1200	L1
lie 	noun/verb	謊言；說謊		初級		1200	L1
lieutenant	noun	中尉、上尉		中高級			L6
life	noun	生命、生活		初級		1200	L1
lifeboat	noun	救生船		中高級
lifeguard	noun	救生員		中高級			L4
lifelong	adj.	終身的、畢生的		中高級			L6
lifestyle	noun	生活方式		中級
lifetime	noun	一生		中級			L3
lift	verb	舉起		初級		800	L2
lift	noun	舉、順道搭載		初級		800	L2
light 	noun/verb/adj.	光、燈；點燃、照亮；明亮的		初級		1200	L1
light 	adj./adv.	輕(便)、明亮、(顏色)淺、少量		初級		1200	L1
lighten	verb	變亮、照亮；減輕		中級			L6
lighthouse	noun	燈塔		中級			L3
lighting	noun	照明設備、光線、燈光		中高級
lightning	noun	閃電		初級		800	L3
lightweight	adj./noun	輕量的；輕量級拳擊手、無影響力的人		中高級
like	prep.	像、如		初級		1200	L1
like	verb	喜歡、想要		初級		1200	L1
likelihood	noun	可能、可能性		中高級			L5
likely	adj./adv.	很可能		初級		800	L2
likewise	adv.	同樣地、類似地、也		中高級	L10		L5
lily	noun	百合花		中級			L3
limb	noun	肢、臂、大樹枝		中級			L3
lime	noun	酸橙、萊姆		中高級
limit	verb/noun	限制		初級		800	L2
limitation	noun	限制		中級			L4
limousine	noun	豪華轎車	= limo	中高級
limp	verb/noun	跛行		中高級			L6
limp	adj.	無力的、無精神的		中高級			L6
line	noun/verb	行列；排隊		初級		1200	L1
linear	adj.	直線的、線性的		中高級
linen	noun	亞麻布		中級			L4
liner	noun	郵輪、襯裡		中高級			L6
lineup	noun	陣容、節目安排		中高級
linger	verb	繼續存留		中高級			L6
linguist	noun	通曉外語的人、語言學家		中高級
lining	noun	內襯、襯裡		中高級			L6
link	noun/verb	連結		初級	L3	800	L2
lion	noun	獅子		初級		1200	L1
lip	noun	唇		初級		1200	L1
lipstick	noun	口紅		中級			L4
liquid	noun/adj.	液體；液態的、流動的		初級		800	L2
liquor	noun	酒精飲料、烈酒	= spirits (British English)	中級			L4
list	noun/verb	名單；列入名單		初級		1200	L1
listen	verb	聽		初級		1200	L1
listener	noun	聽者		中級			L2
liter	noun	公升	= litre (British English)	初級		800	L6
literacy	noun	讀寫能力		中高級			L6
literal	adj.	字面意義的、缺乏想像力的		中高級			L6
literally	adv.	字面上、確實地		中高級
literary	adj.	文學的		中級			L4
literate	adj.	有讀寫能力的、有文化的		中高級			L6
literature	noun	文學		中級			L4
litter	noun/verb	垃圾；亂扔、使凌亂		中級			L3
little	adj./pron./adv.	小的；少		初級		1200	L1
live	adj.	實況的、現場演出的、活的		中級		1200	L1
live 	verb	活		初級		1200	L1
live-in	adj.	住在工作場所的、未婚同居者		中高級
lively	adj.	精力充沛的		中級			L3
liver	noun	肝臟		中級			L2
livestock	noun	牲畜、家畜		中高級			L6
living	noun/adj.	生計、收入；活著的、在使用的		中高級		1200
living room	noun	客廳		初級		1200
lizard	noun	蜥蜴		中高級			L6
llama	noun	美洲駝		中高級
load	noun/verb	負載（量）；裝載		中級			L2
loaded	adj.	滿的、富有的、意味深長的		中高級
loaf	noun	一條（塊）包		初級		800	L3
loan	noun/verb	貸款、借款；借出、貸與		中級			L4
lobby	noun	大廳		中級			L3
lobster	noun	龍蝦		中級			L4
local	adj./noun	當地的；本地人		初級		800	L2
locality	noun	地區、地點		中高級
locate	verb	位於、確定位置		中級	L3		L3
location	noun	地點、位置		中級			L3
lock	verb/noun	鎖上；鎖		初級		800	L3
locked	adj.	鎖住的、陷入困境、爭執的		中高級
locker	noun	寄物櫃		中級		800	L6
locomotive	noun	移動的、運動的		中高級
locomotive	adj.	機車、火車頭		中高級
locust	noun	蝗蟲		中高級
lodge	noun/verb	鄉間小屋；（向當局）正式提出（聲明等）		中高級			L6
lofty	adj.	（建築、山）高聳的、（思想）崇高的		中高級			L6
log	noun/verb	原木；伐木		中級			L3
logic	noun	邏輯		中級	L5		L4
logical	adj.	按照邏輯的、合乎情理的		中級			L4
logo	noun	（公司或機構的）標誌、標識		中高級			L6
lollipop	noun	棒棒糖		中高級			L3
lone	adj.	獨自的、單親的		中高級			L2
loneliness	noun	寂寞		中級
lonely	adj.	寂寞的		初級		1200	L1
lonesome	adj.	孤獨的、寂寞的、人煙稀少的		中高級			L6
long	verb	渴望、期盼		中級			L1
long 	adj./adv.	長的、久的；長久地		初級		1200	L1
longevity	noun	長壽、持久		中高級			L6
longitude	noun	經度		中高級			L6
long-standing	adj.	存在已久的、悠久的		中級
long-term	adj.	長期的		中級
longtime	adj.	為時甚久的		中高級
look	verb/noun	看		初級		1200	L1
loom	noun	織布機		中高級
loom	verb	赫然聳現、逼近		中高級
loop	noun/verb	環、圈、環狀物；繞圈		中級			L5
loose	adj.	鬆的、鬆動的		中級			L3
loosen	verb	鬆開、變鬆		中級			L4
loot	verb/noun	（暴動、火災後）打劫；戰利品		中高級
lord	noun	君主、領主		中級			L3
lorry	noun	卡車	= truck (American English)	中級
lose	verb	失去、輸		初級		1200	L1
loser	noun	失敗者		初級		800	L3
loss	noun	損失		初級			L2
lost	adj.	迷路的、失去的、不知所措的		中高級
lot	noun	多量、一批、一塊地		初級		800	L1
lotion	noun	護膚乳液		中級			L6
lottery	noun	彩票抽獎		中高級			L6
lotus	noun	蓮花		中高級			L6
loud	adj./adv.	大聲的；大聲地		初級		1200	L1
loudspeaker	noun	擴音器、喇叭		中級			L6
lounge	noun/verb	等候室；懶洋洋地站（或坐、躺）		中高級			L5
lousy	adj.	極糟的、討厭的		中級			L4
love	verb/noun	愛		初級		1200	L1
lovely	adj.	美好的		初級		1200	L1
lover	noun	愛好者		初級			L3
low	adj.	低的		初級		1200	L1
lower	verb	減少、縮小、放低		中級			L2
loyal	adj.	忠誠的		中級			L4
loyalty	noun	忠誠		中級			L4
lubricate	verb	給…上潤滑油		中高級
luck	noun	運氣		初級			L2
lucky	adj.	幸運的		初級		1200	L1
lucrative	adj.	賺大錢的、獲利多的		中高級			L6
luggage	noun	行李		中級			L3
lullaby	noun	搖籃曲		中級			L6
lumber	noun	木材、木料		中高級
lumber	verb	採伐林木、緩慢笨拙行進、迫使擔負職責		中高級
luminous	adj.	發亮的、鮮豔的		中高級
lump	noun/verb	塊、隆起；把…合併一起		中高級			L5
lunar	adj.	陰曆的、月亮的		中級			L6
lunatic	noun/adj.	精神錯亂者；瘋狂的、可笑的		中高級
lunch	noun	午餐		初級		1200	L1
lunchtime	noun	午餐時間		中高級
lung	noun	肺		中級			L3
lure	verb/noun	引誘、誘惑		中高級			L6
lush	adj.	(植物)茂盛的、繁茂的		中高級			L6
luxurious	adj.	豪華的、奢侈的		中級			L4
luxury	noun	奢侈(品)		中級			L4
lychee	noun	荔枝	= litchi 荔枝	中級
lynch	verb	用私刑處死		中高級
lyric	adj./noun	抒情的；抒情詩		中高級
ma'am	noun	夫人		初級		800
machine	noun	機器		初級		1200	L1
machinery	noun	機器、機制		中級			L4
mad	adj.	瘋狂的、生氣的		初級		1200	L1
madam	noun	夫人、女士		中級			L6
made-up	adj.	化妝的、不真實的、編造的		中高級
mafia	noun	小幫派、社會黑幫		中高級
magazine	noun	雜誌		初級		800	L2
magic	adj./noun.	有魔力的；魔術		初級		1200	L1
magical	adj.	魔術的、奇妙的		中級			L3
magician	noun	魔術師		初級		800	L3
magistrate	noun	地方執法官		中高級
magnet	noun	磁鐵		中級			L3
magnetic	adj.	有磁性的、磁鐵的		中級			L4
magnificent	adj.	壯麗的		中級			L4
magnify	verb	放大、增強		中高級			L6
magnitude	noun	重大、重要性		中高級
maid	noun	女僕、少女		中級			L3
maiden	noun	未婚女子		中高級			L6
maiden	adj.	初次的		中高級			L6
mail	noun/verb	郵件；郵寄		初級		1200	L1
mail carrier	noun	郵差	=mailman = postman (British English)	初級
main	adj.	主要的		初級		1200	L1
mainland	noun	大陸、本土		中級			L6
mainstream	noun	(思想或行為的)主流		中高級			L5
maintain	verb	維持		初級	L2		L2
maintenance	noun	維護、保養		中高級			L5
majestic	adj.	雄偉壯觀的		中高級			L6
majesty	noun	雄偉壯觀、莊嚴		中高級			L6
major	adj.	主要的		初級	L1	800	L2
major	noun/verb	主修科目、主修生；主修		初級	L1	800	L2
majority	noun	大多數		中級			L3
make	verb	做		初級		1200	L1
maker	noun	製作者		中級
makeup	noun	化妝品、構成		中級			L4
making	noun	生產、製造		中高級
malaria	noun	瘧疾		中高級
male	adj./noun	男性(的)		初級		800	L2
mall	noun	購物中心		初級		800	L3
mammal	noun	哺乳動物		中高級			L5
man	noun	男人		初級		1200	L1
manage	verb	設法解決、管理		中級			L2
manageable	adj.	可處理的		中級
management	noun	管理、經營		中級			L2
manager	noun	負責人、經理		初級		800	L2
Mandarin	noun	中文(國語)		初級
mandate	noun	(政府或官員經選舉而獲得的)授權		中高級			L5
mandate	verb	強制執行		中高級
maneuver	verb/noun	操縱、控制；策略、花招、軍事演習	= manoeuvre (British English)	中高級
mango	noun	芒果		初級		800	L2
manifest	adj./verb	明顯的；表明(尤指態度、品質)		中高級			L5
manifest	noun	（船或飛機的）貨單、旅客名單		中高級
manifesto	noun	宣言		中高級
manipulate	verb	操縱、控制(某人的思想和行為)		中高級	L8		L5
mankind	noun	人類		中級			L3
man-made	adj.	人造的		中級
manner	noun	禮貌（多使用複數形態）、方式、態度		初級		800	L2
mansion	noun	大廈、宅第		中級			L5
manual	noun/adj.	手冊、導覽；用手的、手工的		中級	L9		L4
manufacture	verb/noun	大量製造；生產		中級			L4
manufacturer	noun	生產者、製造商		中級			L4
manuscript	noun	手稿、底稿		中高級			L6
many	adj./pron.	許多（的）		初級		1200	L1
map	noun	地圖		初級		1200	L1
maple	noun	楓樹		中高級			L6
mar	verb	破壞、損毀		中高級			L6
marathon	noun	馬拉松		中級			L4
marble	noun	大理石		中級			L3
march	verb/noun	行進、行軍；示威遊行、持續的發展		中級		1200	L3
March	noun	三月	= Mar.	初級		1200
mare	noun	母馬、母驢		中高級
margin	noun	邊緣、差距		中級	L5		L4
marginal	adj./noun	邊緣的；(議會的)邊緣席位		中高級	L5		L6
marine	noun/adj.	海軍陸戰隊士兵；海的		中高級			L5
mark	verb	標記		初級		1200	L1
mark	noun	分數		初級		1200	L1
marked	adj.	明顯的、顯著的		中高級
marker	noun	標誌；麥克筆、彩色筆		初級		1200	L3
market	noun/verb	市場；行銷、銷售		初級		1200	L1
marketing	noun	促銷、銷售		中高級
marriage	noun	婚姻		初級			L2
marry	verb	結婚		初級		800	L2
marsh	noun	溼地、沼澤		中高級
marshal	verb/noun	結集、維持秩序；執行官		中高級
martial	adj.	軍事的、戰爭的		中高級			L6
marvel	noun/verb	令人驚異的人事；感到驚奇		中高級			L6
marvelous	adj.	非凡的、很棒的	= marvellous (British English)	初級		800	L3
masculine	adj.	男人的、男子漢的		中高級			L5
mash	noun/verb	（煮軟的）穀物飼料；搗碎（食物）		中高級
mask	noun	面具、口罩		初級		1200	L2
mass	noun/adj.	大量（的）		初級		800	L2
massacre	noun/verb	屠殺、殺戮、（在比賽或競選中）徹底擊敗		中高級
massage	noun/verb	按摩		中高級			L5
massive	adj.	厚重的、巨大的、強烈的		中高級			L5
master	verb	征服、控制；精通		中級		800	L2
master	noun	主人、大師		初級		800	L2
masterpiece	noun	傑作		中級			L5
mastery	noun	精通、熟練掌握		中高級			L6
mat	noun	蓆子、墊子		初級		800	L2
match	noun	比賽		初級		800	L2
match	verb	相配		初級		800	L2
mate	noun/verb	夥伴、伴侶；交配		中級			L2
material	noun	物質、材料		初級			L2
materialism	noun	物質主義、唯物主義		中高級
math 	noun	數學、算術	= mathematics	初級		1200	L1
mathematical	adj.	數學的		中級			L3
matter	noun	問題；物質		初級		1200	L1
matter	verb	有關係		初級		1200	L1
mattress	noun	床墊		中高級			L5
mature	adj.	成熟的		中級	L9		L2
maturity	noun	成熟、完善		中級			L4
maximum	adj./noun/adv.	最大值（的/地）		初級		800	L4
may	aux.	可能	                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                	初級		1200	L1
