字彙	詞類	中文	註解	級數	學術字彙	國中字彙	高中字彙
aide	noun	(從政者或軍隊高官的)助理、助手		中高級
aim	verb/noun	計劃、瞄準；目標、瞄準		初級		800	L2
air	noun	空氣、空中		初級		1200	L1
air conditioner	noun	冷氣機、空調		初級
air-conditioned	adj.	有空調的		中級
aircraft	noun	飛機		初級			L2
airlift	noun/verb	空運、空投		中高級
airline	noun	航空公司		初級			L3
airmail	noun	航空郵件		中級
airplane	noun	飛機	= plane, aeroplane (British English)	初級		1200	L1
airport	noun	機場		初級		1200	L1
airtight	adj.	密封的、不透氣的		中高級			L6
airway	noun	(肺的)氣道；飛行航線		中高級			L6
aisle	noun	走道		中高級			L5
alarm	noun	鬧鐘、鬧鈴裝置；警報、警報器		初級		800	L2
alarming	adj.	驚人的、令人驚慌的		中高級
album	noun	相簿、集郵簿、音樂專輯		初級		800	L2
alcohol	noun	酒、酒精		中級			L4
alcoholic	noun	酗酒者、酒精中毒者		中級			L5
alcoholic	adj.	酒精的、含酒精的		中級			L5
alert	verb	使警覺、使意識到		中級			L4
alert	adj.	警覺的、機警的		中級			L4
alert	noun	警報、戒備		中級			L4
algebra	noun	代數		中高級			L6
alien	adj.	外國的、異域的、外星人的；陌生的、不熟悉的		中高級			L5
alien	noun	外國人、外星人(生物)		中高級			L5
alienate	verb	使疏遠、離間		中高級			L6
alike	adv./adj.	相似地、同樣地；相似的		初級		800	L2
alive	adj.	活著的、仍然存在的		初級		800	L2
all	adj./pron./adv.	全部(的/地)		初級		1200	L1
allegation	noun	(未經證實的)指責、指控		中高級
allege	verb	(未經證實地)指責、指控		中高級			L6
alleged	adj.	(證據不足的情況下)被指控的、涉嫌的		中高級
allergic	adj.	過敏的、過敏引起的；對...十分反感的		中高級			L5
allergy	noun	過敏		中高級			L5
alleviate	verb	減輕、緩和		中高級
alley	noun	小街、小巷		中級			L3
alliance	noun	(國家)結盟、聯盟		中高級			L5
allied	adj.	結盟的、聯盟的；類似的、有關聯的		中高級
